Customer ID,Current Loan Amount,Current Credit Balance,Monthly Debt,Years in current job,Years of Credit History,Number of Open Accounts,Months since last delinquent,Maximum Open Credit
1,41617,12500,3468.08,35,1,3,0,158000
2,64162,16000,5346.83,31,1,4,0,158000
3,31692,0,2641,25,1,6,0,158000
4,86639,17000,7219.92,14,1,3,0,158000
5,36000,0,3000,25,1,6,0,158000
6,72400,0,6033.33,27,1,5,0,158000
7,105218,26000,8768.17,28,1,2,0,158000
8,147304,0,12275.33,18,1,5,0,158000
9,51320,0,4276.67,26,1,5,0,158000
10,88948,19000,7412.33,16,1,4,0,158000
11,24411,0,2034.25,3,1,5,0,158000
12,60000,0,5000,22,1,6,0,158000
13,2400,0,200,5,1,6,0,158000
14,2400,0,200,4,1,6,0,158000
15,119085,0,9923.75,29,1,5,4,158000
16,2400,0,200,6,1,6,0,158000
17,168000,0,14000,38,1,6,0,158000
18,45260,0,3771.67,21,1,5,0,158000
19,51283.44,0,4273.62,12,1,5,0,158000
20,46160,0,3846.67,13,1,5,0,158000
21,2400,0,200,5,1,6,0,158000
22,24000,0,2000,31,1,6,0,158000
23,24925,18000,2077.08,20,1,5,0,158000
24,269721,84750,22476.75,17,1,4,0,158000
25,93500,41560,7791.67,11,1,5,0,158000
26,67558,15000,5629.83,16,1,2,1,158000
27,44992,0,3749.33,19,1,4,0,158000
28,28606,0,2383.83,8,1,5,0,158000
29,33073.25,0,2756.1,28,1,4,5,158000
30,72145.75,1000,6012.15,24,1,3,0,158000
31,65572,0,5464.33,11,1,5,0,158000
32,15662,0,1305.17,25,1,5,3,158000
33,40610,0,3384.17,15,1,5,0,158000
34,12000,0,1000,15,1,6,0,158000
35,106226,14000,8852.17,16,1,4,0,158000
36,169512,105000,14126,9,1,5,0,158000
37,22122,0,1843.5,7,1,5,0,158000
38,30726,0,2560.5,12,1,5,0,158000
39,42861,0,3571.75,15,1,5,0,158000
40,84136,0,7011.33,14,1,5,0,158000
41,38602,0,3216.83,7,1,5,0,158000
42,25128,0,2094,12,1,5,0,158000
43,52444,0,4370.33,24,1,5,0,158000
44,61840,0,5153.33,14,1,5,0,158000
45,106208,23496,8850.67,9,1,4,0,158000
